orig_cfs_code,dest_cfs_code,truck,rail,water,air
0199999,0438060,228.0,0.0,0.0,0.0
0199999,0446060,0.0,0.0,0.0,0.0
0199999,0499999,40.0,0.0,0.0,0.0
0199999,0599999,673.0,68.0,0.0,0.0
0199999,06348,1248.0,810.0,0.0,0.0
0199999,06472,140.0,0.0,0.0,0.0
0199999,0641740,97.0,0.0,0.0,0.0
0199999,06488,0.0,0.0,0.0,0.0
0199999,0699999,110.0,0.0,0.0,0.0
0199999,08216,283.0,0.0,0.0,0.0
0199999,0899999,47.0,0.0,0.0,0.0
0199999,09278,98.0,0.0,0.0,0.0
0199999,09408,0.0,0.0,0.0,0.0
0199999,0999999,8.0,0.0,0.0,0.0
0199999,1099999,0.0,8.0,0.0,0.0
0199999,1147900,0.0,0.0,0.0,0.0
0199999,1227260,427.0,25.0,0.0,0.0
0199999,1233100,983.0,27.0,0.0,0.0
0199999,12422,552.0,16.0,0.0,0.0
0199999,1245300,706.0,10.0,0.0,2.0
0199999,1299999,2166.0,204.0,0.0,0.0
0199999,13122,5236.0,343.0,0.0,0.0
0199999,13496,768.0,99.0,444.0,0.0
0199999,1399999,3554.0,3710.0,0.0,0.0
0199999,1699999,0.0,0.0,0.0,0.0
0199999,17176,1375.0,0.0,0.0,0.0
0199999,17476,58.0,0.0,0.0,0.0
0199999,1799999,507.0,7.0,0.0,0.0
0199999,18176,0.0,0.0,0.0,0.0
0199999,18294,295.0,0.0,0.0,0.0
0199999,1899999,547.0,0.0,200.0,0.0
0199999,1999999,323.0,17.0,0.0,0.0
0199999,20312,144.0,0.0,0.0,0.0
0199999,2099999,0.0,7.0,0.0,0.0
0199999,21350,0.0,0.0,0.0,0.0
0199999,2199999,609.0,156.0,0.0,0.0
0199999,22132,102.0,0.0,0.0,0.0
0199999,22324,20.0,0.0,0.0,0.0
0199999,22406,369.0,0.0,0.0,0.0
0199999,2299999,359.0,0.0,0.0,0.0
0199999,2399999,129.0,0.0,0.0,0.0
0199999,2412580,529.0,0.0,0.0,0.0
0199999,2447900,0.0,0.0,0.0,0.0
0199999,2499999,242.0,22.0,0.0,0.0
0199999,25148,351.0,1.0,0.0,0.0
0199999,2599999,79.0,0.0,0.0,0.0
0199999,26220,1352.0,208.0,0.0,0.0
0199999,26266,59.0,3.0,0.0,0.0
0199999,2699999,144.0,64.0,0.0,0.0
0199999,27378,302.0,0.0,0.0,0.0
0199999,2799999,45.0,13.0,0.0,0.0
0199999,2899999,3423.0,911.0,0.0,0.0
0199999,29312,143.0,46.0,0.0,0.0
0199999,29476,415.0,0.0,0.0,0.0
0199999,2999999,271.0,26.0,0.0,0.0
0199999,3099999,35.0,0.0,0.0,0.0
0199999,3199999,246.0,0.0,0.0,0.0
0199999,32332,27.0,0.0,0.0,0.0
0199999,3299999,39.0,0.0,0.0,0.0
